Categoria: Todas as categorias

Mês,Flamengo: (Ceará),Fortaleza Esporte Clube: (Ceará),Ceará Sporting Club: (Ceará)
2004-01,0,0,20
2004-02,0,0,19
2004-03,0,0,22
2004-04,5,7,21
2004-05,3,3,23
2004-06,3,0,18
2004-07,4,7,18
2004-08,0,0,17
2004-09,0,0,25
2004-10,4,0,19
2004-11,3,0,21
2004-12,5,3,17
2005-01,4,7,18
2005-02,0,3,15
2005-03,4,3,17
2005-04,6,6,20
2005-05,8,3,21
2005-06,2,2,17
2005-07,5,0,11
2005-08,4,2,17
2005-09,7,4,16
2005-10,4,3,16
2005-11,6,5,21
2005-12,5,3,17
2006-01,5,4,23
2006-02,4,5,19
2006-03,3,4,20
2006-04,3,6,19
2006-05,6,4,15
2006-06,3,5,19
2006-07,6,5,17
2006-08,5,3,16
2006-09,4,4,19
2006-10,3,3,18
2006-11,4,2,15
2006-12,7,3,12
2007-01,7,3,14
2007-02,6,2,13
2007-03,5,3,13
2007-04,4,3,13
2007-05,8,4,11
2007-06,6,4,13
2007-07,6,2,13
2007-08,7,2,12
2007-09,5,2,11
2007-10,8,2,11
2007-11,9,1,11
2007-12,8,2,10
2008-01,8,2,11
2008-02,9,3,12
2008-03,8,2,13
2008-04,8,3,15
2008-05,10,4,13
2008-06,7,2,18
2008-07,10,3,16
2008-08,8,2,14
2008-09,7,2,14
2008-10,7,3,14
2008-11,6,3,11
2008-12,8,2,12
2009-01,8,4,12
2009-02,6,3,13
2009-03,6,3,11
2009-04,9,3,9
2009-05,12,4,10
2009-06,8,3,10
2009-07,9,3,11
2009-08,9,3,14
2009-09,8,3,13
2009-10,9,3,13
2009-11,13,4,16
2009-12,20,3,11
2010-01,10,4,10
2010-02,9,2,12
2010-03,8,3,12
2010-04,11,2,10
2010-05,14,4,13
2010-06,10,3,12
2010-07,13,3,11
2010-08,9,3,12
2010-09,8,3,14
2010-10,8,1,13
2010-11,6,1,10
2010-12,7,2,9
2011-01,10,8,20
2011-02,8,7,15
2011-03,9,9,20
2011-04,8,6,18
2011-05,13,7,27
2011-06,8,5,18
2011-07,11,6,16
2011-08,10,8,19
2011-09,10,9,17
2011-10,10,3,15
2011-11,8,4,19
2011-12,9,4,15
2012-01,9,5,15
2012-02,10,9,16
2012-03,9,7,16
2012-04,8,7,13
2012-05,7,8,17
2012-06,6,4,14
2012-07,9,7,13
2012-08,7,6,14
2012-09,6,6,15
2012-10,5,4,12
2012-11,6,6,10
2012-12,7,3,9
2013-01,8,4,11
2013-02,7,5,13
2013-03,5,4,12
2013-04,5,3,11
2013-05,7,5,13
2013-06,7,3,10
2013-07,7,3,8
2013-08,7,3,10
2013-09,7,4,10
2013-10,9,5,10
2013-11,11,2,12
2013-12,8,3,8
2014-01,8,4,9
2014-02,9,3,9
2014-03,7,6,12
2014-04,9,6,13
2014-05,8,3,9
2014-06,6,2,7
2014-07,9,3,10
2014-08,8,3,12
2014-09,8,3,13
2014-10,7,9,14
2014-11,8,2,10
2014-12,7,2,7
2015-01,9,4,9
2015-02,7,6,10
2015-03,7,9,13
2015-04,8,4,14
2015-05,9,8,14
2015-06,10,4,9
2015-07,11,4,12
2015-08,14,4,18
2015-09,15,5,14
2015-10,9,7,11
2015-11,9,2,17
2015-12,11,2,7
2016-01,17,3,13
2016-02,11,4,9
2016-03,9,9,16
2016-04,10,5,10
2016-05,15,8,13
2016-06,15,4,14
2016-07,19,6,15
2016-08,15,5,11
2016-09,22,8,13
2016-10,18,10,11
2016-11,16,1,5
2016-12,11,1,3
2017-01,17,2,9
2017-02,20,2,11
2017-03,17,1,7
2017-04,16,2,5
2017-05,21,2,5
2017-06,25,2,8
2017-07,29,3,9
2017-08,25,3,8
2017-09,21,15,10
2017-10,16,17,25
2017-11,21,3,27
2017-12,20,3,5
2018-01,19,5,11
2018-02,16,7,14
2018-03,17,8,20
2018-04,22,11,23
2018-05,23,10,27
2018-06,22,11,23
2018-07,23,10,11
2018-08,30,11,25
2018-09,27,16,33
2018-10,20,13,25
2018-11,19,17,39
2018-12,17,5,10
2019-01,28,6,12
2019-02,25,9,18
2019-03,25,11,26
2019-04,30,14,27
2019-05,30,29,34
2019-06,29,16,21
2019-07,31,12,23
2019-08,48,24,40
2019-09,40,23,31
2019-10,87,39,46
2019-11,100,45,59
2019-12,71,20,30
2020-01,33,9,21
2020-02,59,32,42
2020-03,28,13,18
2020-04,5,2,2
2020-05,5,2,2
2020-06,11,2,3
2020-07,22,17,19
2020-08,37,20,42
2020-09,55,25,46
2020-10,58,43,48
2020-11,62,26,43
2020-12,41,21,30
2021-01,46,26,33
2021-02,61,21,27
2021-03,27,14,20
2021-04,38,10,31
2021-05,48,16,54
2021-06,35,21,44
2021-07,52,13,28
2021-08,58,18,24
2021-09,50,9,16
2021-10,60,17,31
2021-11,83,17,47
2021-12,31,11,27
2022-01,17,5,8
2022-02,37,17,30
2022-03,29,21,25
2022-04,51,55,50
2022-05,49,49,54
2022-06,52,73,82
2022-07,67,91,87
2022-08,74,51,64
2022-09,72,32,39
2022-10,71,37,43
2022-11,27,27,30
2022-12,10,5,4
2023-01,38,18,20
2023-02,55,41,36
2023-03,47,63,57
2023-04,64,69,58
2023-05,54,56,48
2023-06,54,36,35
2023-07,64,31,38
2023-08,57,42,31
2023-09,53,44,32
2023-10,35,55,25
2023-11,51,47,18
2023-12,19,16,4
2024-01,26,13,14
2024-02,34,30,39
2024-03,27,46,47
2024-04,10,11,14
