Posicao,Municípios,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educação
1, Fernando de Noronha, 0.788, 0.781, 0.839, 0.748
2, Recife, 0.772, 0.798, 0.825, 0.698
3, Olinda, 0.735, 0.704, 0.836, 0.675
4, Paulista, 0.732, 0.673, 0.830, 0.703
5, Jaboatão dos Guararapes, 0.717, 0.692, 0.830, 0.642
6, Petrolina, 0.697, 0.695, 0.799, 0.611
7, Camaragibe, 0.692, 0.656, 0.805, 0.628
8, Cabo de Santo Agostinho, 0.686, 0.654, 0.812, 0.609
9, Carpina, 0.680, 0.630, 0.806, 0.619
10, Abreu e Lima, 0.679, 0.625, 0.791, 0.632
11, Caruaru, 0.677, 0.681, 0.799, 0.569
12, Triunfo, 0.670, 0.624, 0.817, 0.591
13, Salgueiro, 0.669, 0.645, 0.799, 0.580
14, Arcoverde, 0.667, 0.654, 0.799, 0.567
15, Igarassu, 0.665, 0.622, 0.781, 0.606
16, Garanhuns, 0.664, 0.662, 0.795, 0.556
17, Limoeiro, 0.663, 0.628, 0.797, 0.583
18, Nazaré da Mata, 0.662, 0.608, 0.789, 0.604
19, Serra Talhada, 0.661, 0.632, 0.800, 0.571
20, Afogados da Ingazeira, 0.657, 0.623, 0.807, 0.565
21, Ilha de Itamaracá, 0.653, 0.627, 0.809, 0.548
21, São Lourenço da Mata, 0.653, 0.614, 0.793, 0.571
23, Moreno, 0.652, 0.610, 0.805, 0.564
24, Goiana, 0.651, 0.614, 0.779, 0.576
25, Santa Cruz do Capibaribe, 0.648, 0.667, 0.806, 0.506
26, Jatobá, 0.645, 0.604, 0.775, 0.573
27, Belém do São Francisco, 0.642, 0.611, 0.784, 0.553
28, Taquaritinga do Norte, 0.641, 0.636, 0.796, 0.520
29, Vitória de Santo Antão, 0.640, 0.629, 0.768, 0.543
30, Paudalho, 0.639, 0.612, 0.782, 0.545
31, São José do Egito, 0.635, 0.602, 0.769, 0.554
31, Surubim, 0.635, 0.617, 0.756, 0.548
33, Tuparetama, 0.634, 0.612, 0.749, 0.557
33, Gravatá, 0.634, 0.630, 0.794, 0.510
35, Itapissuma, 0.633, 0.589, 0.764, 0.564
36, Escada, 0.632, 0.594, 0.781, 0.543
37, Belo Jardim, 0.629, 0.617, 0.783, 0.514
38, Floresta, 0.626, 0.588, 0.775, 0.538
39, Cabrobó, 0.623, 0.581, 0.773, 0.539
39, Petrolândia, 0.623, 0.604, 0.755, 0.531
41, Palmares, 0.622, 0.588, 0.744, 0.550
41, Ferreiros, 0.622, 0.589, 0.787, 0.519
43, Ipojuca, 0.619, 0.613, 0.774, 0.499
44, Toritama, 0.618, 0.655, 0.797, 0.452
44, Timbaúba, 0.618, 0.592, 0.769, 0.519
46, Cedro, 0.615, 0.565, 0.717, 0.573
