Categoria: Todas as categorias

Mês,Santa Cruz Futebol Clube: (Pernambuco),Sport Club do Recife: (Pernambuco),Clube de Regatas do Flamengo: (Pernambuco),Clube Náutico Capibaribe: (Pernambuco)
2004-01,0,0,0,0
2004-02,0,0,0,0
2004-03,0,0,0,0
2004-04,0,0,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,0,6,14
2004-08,0,0,0,0
2004-09,0,0,0,0
2004-10,0,7,0,0
2004-11,0,0,8,0
2004-12,5,0,0,0
2005-01,0,0,5,0
2005-02,0,0,0,0
2005-03,0,0,0,4
2005-04,0,4,5,0
2005-05,0,0,7,6
2005-06,0,0,0,0
2005-07,0,5,4,0
2005-08,0,3,3,3
2005-09,0,0,3,3
2005-10,2,3,2,6
2005-11,0,3,5,5
2005-12,0,4,4,3
2006-01,0,3,5,2
2006-02,0,2,4,2
2006-03,2,3,2,2
2006-04,1,6,3,4
2006-05,2,4,3,3
2006-06,2,2,3,3
2006-07,2,2,6,3
2006-08,1,5,3,4
2006-09,2,5,3,5
2006-10,0,4,3,7
2006-11,1,8,5,9
2006-12,1,5,6,5
2007-01,1,5,6,6
2007-02,0,5,5,5
2007-03,1,4,4,4
2007-04,0,5,3,7
2007-05,1,6,6,7
2007-06,1,6,4,4
2007-07,1,6,5,7
2007-08,1,4,5,5
2007-09,1,3,5,7
2007-10,1,2,8,7
2007-11,1,2,8,3
2007-12,1,3,7,3
2008-01,1,3,7,4
2008-02,0,2,11,2
2008-03,1,3,8,2
2008-04,1,3,7,3
2008-05,0,5,11,4
2008-06,1,8,8,6
2008-07,2,6,10,6
2008-08,1,5,8,4
2008-09,0,4,7,4
2008-10,0,3,7,3
2008-11,1,3,7,3
2008-12,2,6,8,6
2009-01,3,6,7,5
2009-02,2,8,6,4
2009-03,1,7,9,4
2009-04,1,9,11,4
2009-05,2,7,13,5
2009-06,3,6,8,4
2009-07,2,6,10,5
2009-08,1,6,10,5
2009-09,0,4,8,3
2009-10,0,4,12,3
2009-11,1,3,16,3
2009-12,0,2,23,2
2010-01,1,2,10,2
2010-02,1,3,13,2
2010-03,1,2,11,2
2010-04,2,4,13,3
2010-05,1,6,18,5
2010-06,0,3,11,2
2010-07,1,2,17,2
2010-08,1,4,12,2
2010-09,0,3,10,3
2010-10,0,3,9,2
2010-11,1,3,7,2
2010-12,1,4,8,2
2011-01,3,9,9,9
2011-02,4,12,8,7
2011-03,3,8,6,6
2011-04,4,9,6,9
2011-05,6,14,8,8
2011-06,2,8,6,4
2011-07,3,8,8,4
2011-08,3,9,8,8
2011-09,3,7,8,6
2011-10,6,7,7,7
2011-11,3,10,6,10
2011-12,2,6,6,6
2012-01,3,8,7,8
2012-02,6,9,7,9
2012-03,3,6,6,6
2012-04,3,7,6,9
2012-05,6,11,8,8
2012-06,2,8,5,7
2012-07,3,10,8,7
2012-08,3,8,7,10
2012-09,3,7,5,7
2012-10,4,6,4,7
2012-11,2,7,5,6
2012-12,1,5,6,7
2013-01,2,5,6,6
2013-02,2,4,6,7
2013-03,2,4,4,6
2013-04,4,6,4,10
2013-05,5,8,5,9
2013-06,2,5,4,7
2013-07,2,6,4,7
2013-08,3,9,4,10
2013-09,3,6,4,7
2013-10,5,6,4,5
2013-11,4,8,6,4
2013-12,3,5,5,4
2014-01,4,10,5,8
2014-02,4,9,5,9
2014-03,8,10,4,6
2014-04,5,16,5,12
2014-05,3,10,4,6
2014-06,2,5,3,3
2014-07,2,8,5,5
2014-08,3,8,6,6
2014-09,2,8,5,4
2014-10,3,6,5,3
2014-11,3,8,7,3
2014-12,2,5,5,3
2015-01,4,6,6,4
2015-02,3,7,5,7
2015-03,2,6,5,5
2015-04,4,8,7,4
2015-05,3,9,9,6
2015-06,3,10,8,6
2015-07,5,17,7,8
2015-08,5,15,9,5
2015-09,6,12,9,6
2015-10,4,12,5,6
2015-11,6,11,5,5
2015-12,4,8,6,4
2016-01,5,10,10,4
2016-02,8,11,6,11
2016-03,7,9,5,7
2016-04,9,18,5,8
2016-05,13,17,10,8
2016-06,12,20,10,9
2016-07,10,17,10,6
2016-08,7,15,11,5
2016-09,10,13,13,7
2016-10,6,13,11,13
2016-11,11,30,9,9
2016-12,10,22,7,5
2017-01,13,29,11,6
2017-02,17,35,11,9
2017-03,14,32,10,9
2017-04,31,54,11,11
2017-05,29,67,15,10
2017-06,24,66,18,9
2017-07,23,85,18,11
2017-08,19,40,15,10
2017-09,17,37,13,8
2017-10,15,44,11,8
2017-11,15,52,14,9
2017-12,9,34,18,4
2018-01,13,36,13,10
2018-02,18,36,11,17
2018-03,20,37,12,20
2018-04,17,35,13,23
2018-05,20,44,17,9
2018-06,14,36,15,9
2018-07,16,29,16,10
