Categoria: Todas as categorias

Cidade,Clube de Regatas do Flamengo: (01/01/2004 – 04/04/2024),Ceará Sporting Club: (01/01/2004 – 04/04/2024),Fortaleza Esporte Clube: (01/01/2004 – 04/04/2024)
Ingazeiras,,,
Vila Passagem Florida,,,
São José do Torto,,,
Aprazível,,,
Ubaúna,,,
Quitaiús,,,
São Benedito,80%,10%,10%
Deserto,,,
Mauriti,88%,6%,6%
Ipu,77%,11%,12%
Independência,79%,11%,10%
Boa Vista do Caxitoré,,,
Barbalha,85%,7%,8%
Missão Velha,85%,7%,8%
Aurora,84%,8%,8%
Barro,85%,7%,8%
Crato,83%,8%,9%
Sítio Alegre,,,
Icó,80%,10%,10%
Santa Quitéria,69%,16%,15%
Majorlândia,56%,19%,25%
Tapuio,78%,11%,11%
Camocim,71%,14%,15%
Jaguaruana,62%,20%,18%
Crateús,75%,13%,12%
Itapipoca,54%,22%,24%
Campos Sales,82%,8%,10%
Guaraciaba do Norte,77%,12%,11%
Guajiru,,,
Icapuí,65%,16%,19%
Pentecoste,53%,25%,22%
Ibiapina,73%,13%,14%
Currais,,,
Viçosa do Ceará,69%,17%,14%
Brejinho,94%,,6%
Canindé,51%,26%,23%
Acaraú,70%,14%,16%
Milagres,82%,9%,9%
Boa Viagem,,,
Aracati,61%,19%,20%
Tianguá,71%,15%,14%
Juazeiro do Norte,81%,10%,9%
Iguatu,75%,13%,12%
Sobral,68%,17%,15%
Russas,63%,18%,19%
Irauçuba,49%,25%,26%
Quixadá,54%,23%,23%
Tauá,71%,14%,15%
Trairi,42%,29%,29%
Quixeramobim,62%,19%,19%
Pacajus,44%,29%,27%
Itapagé,51%,24%,25%
Jaguaribe,71%,14%,15%
Baturité,43%,30%,27%
São Gonçalo do Amarante,35%,35%,30%
Beberibe,35%,34%,31%
Vila de Jericoacoara,66%,16%,18%
Limoeiro do Norte,62%,21%,17%
Pedra Branca,69%,15%,16%
Cascavel,32%,34%,34%
Horizonte,38%,33%,29%
Aquiraz,29%,37%,34%
Pacatuba,,,
Paracuru,,,
Itaitinga,,,
Maracanaú,,,
Pecém,,,
Caucaia,,,
Maranguape,,,
Eusébio,,,
Fortaleza,,,
