Categoria: Todas as categorias

Cidade,Santa Cruz Futebol Clube: (01/01/2004 – 04/04/2024),Sport Club do Recife: (01/01/2004 – 04/04/2024),Clube de Regatas do Flamengo: (01/01/2004 – 04/04/2024),Clube Náutico Capibaribe: (01/01/2004 – 04/04/2024)
Itapissuma,23%,45%,19%,13%
Paulista,23%,49%,11%,17%
Olinda,23%,51%,9%,17%
Camaragibe,24%,50%,10%,16%
Ilha de Itamaracá,22%,48%,15%,15%
Abreu e Lima,23%,49%,15%,13%
Barra do Sirinhaém,,,,
São Lourenço da Mata,22%,51%,12%,15%
Moreno,23%,49%,14%,14%
Jaboatão dos Guararapes,22%,52%,12%,14%
Igarassu,20%,52%,14%,14%
Paudalho,21%,47%,17%,15%
Nazaré da Mata,20%,49%,19%,12%
Cabo de Santo Agostinho,19%,48%,20%,13%
Carpina,20%,48%,19%,13%
Vitória de Santo Antão,19%,49%,19%,13%
Goiana,20%,41%,26%,13%
Recife,20%,48%,14%,18%
Gravatá,18%,47%,20%,15%
Ipojuca,19%,42%,27%,12%
Tamandaré,15%,43%,28%,14%
Glória do Goitá,17%,49%,24%,10%
Escada,17%,45%,27%,11%
Sirinhaém,17%,38%,34%,11%
Sairé,,,,
Amaraji,17%,39%,34%,10%
Orobó,18%,34%,38%,10%
Bezerros,16%,44%,28%,12%
Brejo da Madre de Deus,,,,
João Alfredo,18%,39%,32%,11%
Ribeirão,15%,40%,34%,11%
Camocim de São Félix,,,,
Surubim,13%,39%,35%,13%
Santa Cruz do Capibaribe,13%,18%,64%,5%
Pão de Açucar,,,,
Gameleira,,,,
Catende,,,,
Caruaru,13%,38%,36%,13%
Machados,,,,
Barreiros,11%,30%,50%,9%
Toritama,11%,27%,54%,8%
Palmares,12%,32%,45%,11%
Bonito,11%,36%,43%,10%
Arcoverde,10%,30%,50%,10%
Altinho,,,,
Pesqueira,10%,33%,44%,13%
Garanhuns,10%,33%,44%,13%
Cachoeirinha,,,,
Belo Jardim,12%,31%,46%,11%
Pedras de Fogo,,,,
Agrestina,,,,
Calçado,,,,
São Bento do Una,,,,
Afogados da Ingazeira,,,,
Sertânia,,,,
Pedra,,,,
Lajedo,,,,
Serra Talhada,5%,15%,74%,6%
Ouricuri,,,,
Salgueiro,,,,
Baixa Grande,,,,
Tabira,,,,
São José do Egito,,,,
Buíque,,,,
Floresta,,,,
Bom Conselho,,,,
Custódia,,,,
Águas Belas,,,,
Petrolina,2%,8%,87%,3%
Bodocó,,,,
Inajá,,,,
Araripina,,,,
Trindade,,,,
